"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2018",1161.24,1163.05,1164.92,1159.23,"1.05B","0.21%"
"Sep 28, 2018",1158.75,1161.48,1162.14,1154.35,"1.05B","0.02%"
"Sep 27, 2018",1158.54,1157.19,1158.54,1142.80,"1.70B","0.25%"
"Sep 26, 2018",1155.61,1159.06,1161.30,1152.50,"1.15B","-0.05%"
"Sep 25, 2018",1156.18,1158.00,1160.37,1152.87,"865.90M","0.14%"
"Sep 24, 2018",1154.60,1154.66,1162.04,1153.73,"1.10B","-0.43%"
"Sep 21, 2018",1159.54,1162.05,1166.78,1156.80,"1.83B","0.19%"
"Sep 20, 2018",1157.31,1161.64,1166.12,1155.87,"1.64B","0.17%"
"Sep 19, 2018",1155.35,1155.11,1165.88,1153.00,"4.01B","0.33%"
"Sep 18, 2018",1151.59,1131.03,1155.43,1129.98,"2.09B","1.74%"
"Sep 17, 2018",1131.92,1132.31,1137.40,1126.31,"1.01B","-0.36%"
"Sep 14, 2018",1135.98,1138.42,1141.17,1132.12,"1.28B","0.22%"
"Sep 13, 2018",1133.44,1111.61,1138.13,1111.42,"1.72B","2.85%"
"Sep 12, 2018",1102.07,1095.82,1103.71,1090.92,"1.11B","0.50%"
"Sep 11, 2018",1096.63,1112.48,1115.91,1096.63,"1.06B","-1.51%"
"Sep 10, 2018",1113.47,1110.12,1114.39,1105.08,"772.47M","0.09%"
"Sep 07, 2018",1112.49,1111.20,1117.26,1108.16,"957.79M","-0.37%"
"Sep 06, 2018",1116.61,1110.48,1116.75,1104.03,"1.91B","0.48%"
"Sep 05, 2018",1111.30,1126.34,1129.10,1110.87,"1.51B","-1.76%"
"Sep 04, 2018",1131.26,1138.28,1140.22,1130.75,"1.05B","-0.56%"
"Sep 03, 2018",1137.68,1138.38,1142.34,1136.10,"906.97M","-0.10%"
"Aug 31, 2018",1138.80,1132.84,1139.54,1131.43,"1.17B","0.06%"
"Aug 30, 2018",1138.12,1144.90,1147.31,1138.12,"1.05B","-0.37%"
"Aug 29, 2018",1142.30,1141.67,1143.11,1136.38,"895.46M","0.26%"
"Aug 28, 2018",1139.30,1143.11,1146.83,1137.79,"1.22B","0.13%"
"Aug 27, 2018",1137.79,1132.83,1138.57,1131.75,"1.34B","0.87%"
"Aug 24, 2018",1128.03,1126.29,1129.19,1122.84,"760.74M","-0.15%"
"Aug 23, 2018",1129.73,1131.13,1134.03,1126.53,"951.85M","0.48%"
"Aug 22, 2018",1124.34,1122.40,1131.04,1121.55,"1.05B","0.33%"
"Aug 21, 2018",1120.66,1127.36,1131.78,1116.15,"1.37B","-0.44%"
"Aug 20, 2018",1125.61,1123.56,1129.69,1120.44,"2.33B","0.82%"
"Aug 17, 2018",1116.46,1116.23,1121.17,1115.30,"1.38B","0.50%"
"Aug 16, 2018",1110.87,1106.00,1112.28,1098.99,"1.51B","0.28%"
"Aug 15, 2018",1107.78,1116.03,1117.64,1105.80,"1.76B","-1.30%"
"Aug 14, 2018",1122.32,1119.14,1123.48,1113.42,"1.37B","-0.56%"
"Aug 10, 2018",1128.62,1137.70,1138.71,1128.09,"1.18B","-1.14%"
"Aug 09, 2018",1141.63,1142.39,1147.45,1137.46,"956.06M","-0.01%"
"Aug 08, 2018",1141.69,1132.27,1143.99,1130.82,"1.43B","0.92%"
"Aug 07, 2018",1131.25,1126.42,1134.54,1119.29,"1.12B","0.74%"
"Aug 06, 2018",1122.94,1138.23,1140.76,1121.11,"1.44B","-0.96%"
"Aug 03, 2018",1133.78,1131.77,1137.32,1129.92,"994.02M","0.12%"
"Aug 02, 2018",1132.47,1138.35,1140.17,1125.52,"1.19B","-0.96%"
"Aug 01, 2018",1143.46,1129.93,1144.14,1127.60,"1.61B","1.41%"
"Jul 31, 2018",1127.56,1127.71,1132.39,1121.62,"1.67B","0.12%"
"Jul 26, 2018",1126.25,1126.22,1127.83,1116.47,"1.56B","0.76%"
"Jul 25, 2018",1117.74,1108.65,1122.56,1108.46,"1.93B","1.07%"
"Jul 24, 2018",1105.93,1114.04,1116.02,1101.40,"2.11B","-0.14%"
"Jul 23, 2018",1107.43,1103.46,1112.38,1098.25,"2.03B","0.37%"
"Jul 20, 2018",1103.32,1088.29,1106.20,1085.53,"2.72B","1.70%"
"Jul 19, 2018",1084.85,1081.07,1087.98,1077.24,"1.19B","0.71%"
"Jul 18, 2018",1077.22,1073.82,1078.83,1071.59,"1.35B","0.85%"
"Jul 17, 2018",1068.09,1066.12,1072.15,1060.52,"1.31B","-0.09%"
"Jul 16, 2018",1069.04,1075.03,1077.25,1065.12,"959.21M","-1.02%"
"Jul 13, 2018",1080.05,1082.95,1085.97,1077.31,"1.18B","0.02%"
"Jul 12, 2018",1079.87,1076.52,1085.26,1075.62,"1.21B","0.10%"
"Jul 11, 2018",1078.82,1075.83,1083.06,1073.24,"1.01B","-0.60%"
"Jul 10, 2018",1085.36,1074.74,1085.52,1064.19,"1.50B","1.45%"
"Jul 09, 2018",1069.83,1072.62,1075.12,1068.05,"1.38B","0.58%"
"Jul 06, 2018",1063.71,1052.82,1067.59,1043.87,"2.65B","0.84%"
"Jul 05, 2018",1054.84,1071.10,1072.89,1051.51,"2.68B","-1.71%"
"Jul 04, 2018",1073.20,1068.75,1076.41,1062.92,"2.21B","0.32%"
"Jul 03, 2018",1069.77,1056.91,1071.32,1052.26,"1.40B","1.10%"
"Jul 02, 2018",1058.12,1053.26,1058.16,1043.67,"1.26B","0.62%"
"Jun 29, 2018",1051.63,1054.99,1059.81,1043.32,"1.90B","0.10%"
"Jun 28, 2018",1050.60,1064.31,1066.65,1050.50,"1.83B","-0.94%"
"Jun 27, 2018",1060.58,1071.28,1076.15,1057.06,"1.24B","-0.43%"
"Jun 26, 2018",1065.20,1057.10,1069.64,1052.04,"1.29B","0.33%"
"Jun 25, 2018",1061.68,1076.07,1080.45,1060.45,"1.07B","-0.89%"
"Jun 22, 2018",1071.18,1075.98,1081.65,1065.54,"1.28B","0.23%"
"Jun 21, 2018",1068.68,1090.03,1091.31,1064.13,"1.53B","-2.01%"
"Jun 20, 2018",1090.62,1078.94,1093.20,1072.62,"1.53B","1.74%"
"Jun 19, 2018",1071.96,1090.34,1096.99,1067.58,"2.32B","-2.57%"
"Jun 18, 2018",1100.25,1108.53,1110.29,1100.15,"1.17B","-1.57%"
"Jun 15, 2018",1117.85,1118.75,1123.31,1109.92,"1.51B","-0.34%"
"Jun 14, 2018",1121.70,1125.19,1126.28,1113.93,"1.31B","-0.61%"
"Jun 13, 2018",1128.55,1134.21,1136.24,1126.58,"1.16B","-0.58%"
"Jun 12, 2018",1135.11,1133.80,1142.11,1132.71,"1.23B","0.29%"
"Jun 11, 2018",1131.83,1132.23,1135.66,1125.64,"786.53M","0.08%"
"Jun 08, 2018",1130.91,1143.70,1143.87,1130.76,"1.05B","-0.89%"
"Jun 07, 2018",1141.12,1149.52,1152.40,1141.12,"1.25B","-0.42%"
"Jun 06, 2018",1145.95,1145.24,1150.87,1140.96,"1.52B","0.40%"
"Jun 05, 2018",1141.39,1132.72,1143.14,1124.83,"2.15B","0.85%"
"Jun 04, 2018",1131.82,1128.60,1135.22,1126.03,"1.13B","0.19%"
"Jun 01, 2018",1129.66,1134.55,1137.54,1125.68,"1.28B","-0.45%"
"May 31, 2018",1134.76,1137.35,1142.40,1131.22,"2.45B","0.15%"
"May 30, 2018",1133.06,1126.45,1134.81,1122.97,"1.85B","-0.67%"
"May 28, 2018",1140.74,1142.83,1144.45,1137.24,"1.33B","-0.59%"
"May 25, 2018",1147.49,1142.62,1147.50,1134.68,"1.40B","0.66%"
"May 24, 2018",1139.91,1150.83,1154.32,1138.04,"1.58B","-1.41%"
"May 23, 2018",1156.18,1160.03,1162.95,1152.06,"1.48B","-0.76%"
"May 22, 2018",1165.04,1171.52,1173.15,1160.46,"1.32B","-0.51%"
"May 21, 2018",1171.03,1166.79,1173.65,1164.67,"1.28B","0.84%"
"May 18, 2018",1161.26,1159.14,1164.06,1154.24,"1.63B","0.21%"
"May 17, 2018",1158.80,1158.06,1164.17,1153.25,"2.08B","0.19%"
"May 16, 2018",1156.63,1161.43,1164.55,1154.17,"1.63B","-1.02%"
